头实体	关系	尾实体
腿脚浮肿	涉及症状	利尿
腿脚浮肿	涉及症状	体重增加
面色苍白	涉及症状	剧烈疼痛
面色苍白	涉及疾病	急性白血病
面色苍白	涉及检查	动脉血气分析
面色苍白	涉及症状	剧痛
面色苍白	属于	症状
面色苍白	涉及症状	面色青紫
面色苍白	涉及症状	紫绀
急性会厌炎	属于	疾病
急性会厌炎	涉及症状	咽痛
急性会厌炎	科室	耳鼻咽喉头颈外科
毛细支气管炎	涉及症状	小儿干咳
毛细支气管炎	科室	儿科
毛细支气管炎	涉及症状	三凹征
毛细支气管炎	涉及症状	哮鸣音
毛细支气管炎	涉及症状	双肺水泡音
毛细支气管炎	涉及症状	小支气管痉挛
毛细支气管炎	涉及症状	浑身忽冷忽热
毛细支气管炎	属于	疾病
毛细支气管炎	涉及症状	打喷嚏
免疫缺陷	涉及疾病	原发性免疫缺陷病
免疫缺陷	涉及症状	营养障碍
免疫缺陷	涉及疾病	获得性免疫缺陷综合征
免疫缺陷	属于	症状
阵挛-强直型	涉及症状	大小便失禁
阵挛-强直型	属于	症状
阵挛-强直型	涉及症状	窒息
阵挛-强直型	涉及疾病	癫痫持续状态
阵挛-强直型	涉及疾病	药物性角膜病
阵挛-强直型	涉及症状	胸闷
阵挛-强直型	涉及检查	尿常规
阵挛-强直型	涉及症状	发绀
淋巴结肿大	涉及疾病	获得性免疫缺陷综合征
淋巴结肿大	涉及疾病	荨麻疹
淋巴结肿大	涉及症状	全身衰竭
淋巴结肿大	涉及症状	颈静脉怒张
淋巴结肿大	涉及症状	咽部充血
淋巴结肿大	属于	症状
淋巴结肿大	涉及症状	声音嘶哑
淋巴结肿大	涉及症状	嗜酸性粒细胞增多
淋巴结肿大	涉及检查	淋巴细胞计数
淋巴结肿大	涉及症状	消瘦
淋巴结肿大	就诊科室	肿瘤科
动脉血氧分压	涉及疾病	新生儿迟发性代谢性酸中毒
动脉血氧分压	涉及疾病	五氯酚钠中毒
动脉血氧分压	涉及疾病	脐带打结
动脉血氧分压	涉及疾病	重症肺炎
动脉血氧分压	涉及疾病	急性高山病
动脉血氧分压	涉及疾病	新生儿中枢性呼吸暂停综合征
动脉血氧分压	涉及疾病	百草枯中毒
动脉血氧分压	涉及疾病	迁延性肺嗜酸粒细胞浸润症
动脉血氧分压	涉及疾病	急性呼吸衰竭
动脉血氧分压	涉及疾病	动脉硬化性血管病
动脉血氧分压	涉及疾病	慢性呼吸衰竭
动脉血氧分压	涉及疾病	中毒性肺炎
动脉血氧分压	涉及疾病	新生儿硬皮症
动脉血氧分压	涉及疾病	肺泡蛋白沉积症
动脉血氧分压	涉及疾病	动静脉瘘
动脉血氧分压	涉及疾病	特发性间质性肺炎
动脉血氧分压	属于	血气测定
动脉血氧分压	涉及疾病	肝肺综合征
动脉血氧分压	涉及疾病	慢性嗜酸性粒细胞性肺炎
动脉血氧分压	涉及疾病	急性肾功能不全
动脉血氧分压	涉及疾病	新生儿低体温
动脉血氧分压	涉及疾病	原发性纤毛运动障碍
动脉血氧分压	涉及疾病	迁延型嗜酸粒细胞增多症
动脉血氧分压	涉及疾病	老年人慢性阻塞性肺疾病
动脉血氧分压	涉及疾病	新生儿晚期代谢性酸中毒
动脉血氧分压	涉及疾病	小儿肺水肿
动脉血氧分压	涉及疾病	煤炭工尘肺
动脉血氧分压	涉及疾病	光气中毒
动脉血氧分压	涉及疾病	急性高原病
动脉血氧分压	涉及疾病	新生儿肺气漏
动脉血氧分压	涉及疾病	新生儿硬化病
动脉血氧分压	涉及疾病	肺血栓栓塞症
动脉血氧分压	涉及疾病	先天性肺动静脉瘘
动脉血氧分压	涉及疾病	重症急性呼吸综合征
动脉血氧分压	涉及疾病	夜间哮喘
动脉血氧分压	涉及疾病	慢性呼衰
动脉血氧分压	涉及疾病	新生儿体温过低
动脉血氧分压	涉及疾病	支气管扩张症
动脉血氧分压	涉及疾病	HIV相关呼吸道感染
动脉血氧分压	涉及疾病	肺栓塞
动脉血氧分压	涉及疾病	先天性胸腹裂孔疝
动脉血氧分压	涉及疾病	动脉粥样硬化
动脉血氧分压	涉及疾病	小儿肥胖通气不良综合征
动脉血氧分压	涉及疾病	肺泡蛋白沉着症
动脉血氧分压	涉及疾病	气胸
动脉血氧分压	涉及疾病	严重急性呼吸综合征
动脉血氧分压	涉及疾病	老年人急性呼吸窘迫综合征
动脉血氧分压	涉及疾病	新生儿呼吸暂停
动脉血氧分压	涉及疾病	放射性肺炎
动脉血氧分压	涉及疾病	休克型肺炎
剧烈运动或强体力劳动后血尿	涉及症状	腰酸
剧烈运动或强体力劳动后血尿	涉及症状	心悸
剧烈运动或强体力劳动后血尿	涉及症状	厌食
剧烈运动或强体力劳动后血尿	涉及症状	充血
剧烈运动或强体力劳动后血尿	涉及症状	小儿尿血
剧烈运动或强体力劳动后血尿	属于	症状
剧烈运动或强体力劳动后血尿	涉及症状	无尿
剧烈运动或强体力劳动后血尿	涉及症状	嗳气
剧烈运动或强体力劳动后血尿	涉及检查	肌红蛋白
剧烈运动或强体力劳动后血尿	涉及症状	蛋白尿
罗阿丝虫病	涉及症状	小腿水肿
罗阿丝虫病	科室	感染科
罗阿丝虫病	涉及症状	女性周期性鼻塞和鼻衄
罗阿丝虫病	属于	疾病
罗阿丝虫病	涉及症状	呼吸道狭窄
罗阿丝虫病	涉及症状	颈椎间盘退变
红斑样皮疹	涉及症状	低热
红斑样皮疹	涉及症状	结痂
红斑样皮疹	涉及症状	水泡
红斑样皮疹	属于	症状
红斑样皮疹	涉及疾病	接触性皮炎
红斑样皮疹	涉及症状	瘙痒
红斑样皮疹	涉及疾病	湿疹
红斑样皮疹	涉及疾病	血管神经性水肿
缺血性心肌病	属于	疾病
缺血性心肌病	涉及症状	胸痛伴冷汗
缺血性心肌病	科室	心血管内科
缺血性心肌病	涉及症状	面部蝶形红斑
缺血性心肌病	涉及症状	胸痛伴呼吸困难
缺血性心肌病	涉及症状	胸痛伴胸闷、心悸
低血容量休克	属于	症状
低血容量休克	涉及症状	心动过速
低血容量休克	涉及症状	呼吸急促
低血容量休克	涉及症状	血压下降
低血容量休克	涉及疾病	休克
低血容量休克	涉及症状	创伤
心悸伴心率异常	涉及症状	胸闷
心悸伴心率异常	涉及症状	疲劳
心悸伴心率异常	属于	症状
心悸伴心率异常	涉及症状	咽痛
心悸伴心率异常	涉及症状	迷走神经兴奋
心悸伴心率异常	涉及疾病	心肌炎
心悸伴心率异常	涉及症状	心悸伴高血压
心悸伴心率异常	涉及症状	心悸伴乏力、面色苍白
心悸伴心率异常	涉及症状	胸痛
心悸伴心率异常	涉及疾病	心房扑动
非感染性腹泻病	属于	疾病
非感染性腹泻病	科室	儿科
汉坦病毒肺综合征	来源	百度百科
汉坦病毒肺综合征	科室	感染科
汉坦病毒肺综合征	涉及检查	氧分压
汉坦病毒肺综合征	属于	疾病
汉坦病毒肺综合征	医学专科	呼吸内科
汉坦病毒肺综合征	涉及检查	动脉血气分析
湿疹	涉及症状	耳廓癣
湿疹	涉及症状	鼻痒
湿疹	涉及症状	红斑样皮疹
湿疹	涉及症状	发热伴有皮疹
湿疹	属于	症状
湿疹	就诊科室	皮肤科
湿疹	就诊科室	皮肤性病科
湿疹	属于	疾病
湿疹	涉及症状	皮肤发红
湿疹	涉及症状	耳痒
湿疹	涉及症状	口唇发绀
湿疹	涉及症状	玫瑰疹
咯血伴黄疸	涉及疾病	流行性出血热
咯血伴黄疸	涉及症状	肺淤血
咯血伴黄疸	涉及疾病	继发性血小板减少性紫癜
咯血伴黄疸	涉及症状	咯血伴发热
咯血伴黄疸	涉及症状	干咳
咯血伴黄疸	属于	症状
咯血伴黄疸	涉及疾病	钩端螺旋体病
咯血伴黄疸	涉及症状	咯血伴呛咳
咯血伴黄疸	涉及症状	恶心
咯血伴黄疸	涉及症状	子宫内膜异位
咯血伴黄疸	涉及疾病	肺脓肿
咯血伴黄疸	涉及症状	胸闷
咯血伴黄疸	涉及疾病	结节性多动脉炎
咯血伴黄疸	涉及症状	瘀血
咯血伴黄疸	涉及症状	腹部不适
咯血伴黄疸	涉及症状	左心衰竭
急性呼吸衰竭	来源	互动百科
急性呼吸衰竭	涉及检查	PaO2
急性呼吸衰竭	科室	急诊科
急性呼吸衰竭	涉及症状	呼吸浅慢
急性呼吸衰竭	来源	医学百科
急性呼吸衰竭	属于	疾病
急性呼吸衰竭	涉及症状	低氧血症
急性呼吸衰竭	名称	呼吸衰竭
急性呼吸衰竭	涉及症状	无名指指甲凹陷
急性呼吸衰竭	科室	呼吸内科
急性呼吸衰竭	涉及症状	呼吸窘迫综合症
急性呼吸衰竭	来源	中文维基百科
急性呼吸衰竭	涉及检查	动脉血氧分压
急性呼吸衰竭	医学专科	内科
急性呼吸衰竭	涉及症状	腹式反常呼吸
急性呼吸衰竭	涉及症状	CO2潴留
急性呼吸衰竭	涉及症状	端坐呼吸
单眼双上转肌麻痹	属于	疾病
单眼双上转肌麻痹	来源	医学百科
单眼双上转肌麻痹	来源	互动百科
单眼双上转肌麻痹	来源	中文维基百科
单眼双上转肌麻痹	涉及检查	血气分析
黏液便	涉及症状	肝脾肿大
黏液便	涉及症状	痢疾
黏液便	就诊科室	内科
黏液便	属于	症状
黏液便	就诊科室	消化内科
黏液便	涉及症状	肝肿大
鼻溢液	涉及检查	耳、鼻、咽拭子细菌培养
鼻溢液	涉及症状	流鼻涕
鼻溢液	涉及症状	充血
鼻溢液	涉及症状	脓性分泌物
鼻溢液	涉及疾病	原发性免疫缺陷病
鼻溢液	涉及症状	血管增生
鼻溢液	属于	症状
鼻溢液	涉及症状	鼻孔流脓
白细胞减少	涉及症状	咽喉炎
白细胞减少	涉及症状	盗汗
白细胞减少	来源	中文维基百科
白细胞减少	涉及症状	脓痰
白细胞减少	来源	医学百科
白细胞减少	涉及疾病	甲型病毒性肝炎
白细胞减少	涉及症状	疲劳
白细胞减少	属于	症状
白细胞减少	涉及症状	周身不适
白细胞减少	就诊科室	内科
白细胞减少	涉及症状	低热
白细胞减少	来源	互动百科
白细胞减少	属于	疾病
胸腺瘤	科室	胸部外科
胸腺瘤	属于	疾病
胸腺瘤	涉及症状	颈静脉怒张
胸腺瘤	涉及症状	呼吸窘迫综合症
胸腺瘤	涉及症状	无力
咳痰	涉及症状	肺间质纤维化
咳痰	涉及症状	哮鸣音
咳痰	涉及症状	肺实变
咳痰	涉及疾病	创伤性膈疝
咳痰	涉及检查	耳、鼻、咽拭子细菌培养
咳痰	涉及症状	呼吸困难
咳痰	涉及症状	肺淤血
咳痰	涉及症状	干咳
咳痰	属于	症状
咳痰	涉及疾病	急性喉气管支气管炎
伴高血压	涉及症状	尿蛋白
伴高血压	涉及疾病	动脉粥样硬化
伴高血压	涉及症状	肺淤血
伴高血压	涉及检查	动脉血气分析
伴高血压	涉及症状	左心衰竭
伴高血压	涉及疾病	原发性高血压
伴高血压	属于	症状
伴高血压	涉及症状	充血
伴高血压	涉及症状	肾损害
伴高血压	涉及症状	紧张
乳腺外科	属于	医学专科
乳腺外科	属于	科室
虚火	属于	症状
虚火	涉及症状	盗汗
虚火	涉及症状	高热
虚火	涉及症状	干咳
虚火	涉及症状	气短
虚火	涉及症状	低热
伤口感染	涉及症状	组织坏死
伤口感染	属于	症状
伤口感染	涉及疾病	产褥感染
伤口感染	涉及疾病	蜂窝织炎
紫绀	涉及症状	肺间质纤维化
紫绀	涉及症状	端坐呼吸
紫绀	涉及疾病	创伤性膈疝
紫绀	涉及症状	呼吸道阻塞
紫绀	涉及检查	PaO2
紫绀	涉及症状	肺淤血
紫绀	涉及症状	颈静脉怒张
紫绀	涉及症状	心悸
紫绀	涉及疾病	主动脉瓣狭窄
紫绀	属于	症状
肝源性水肿	涉及症状	蛋白尿
肝源性水肿	涉及症状	肝肿大
肝源性水肿	涉及症状	恶心
肝源性水肿	涉及症状	低蛋白血症
肝源性水肿	属于	症状
肝源性水肿	涉及疾病	肝硬化
肝源性水肿	涉及疾病	甲型病毒性肝炎
肝源性水肿	涉及症状	颈静脉怒张
肝源性水肿	涉及症状	肾源性水肿
癫痫持续状态	科室	神经内科
癫痫持续状态	涉及症状	阵挛-强直型
癫痫持续状态	涉及症状	非感染性发热
癫痫持续状态	属于	疾病
外周静脉充勇	涉及症状	抑郁
外周静脉充勇	涉及症状	剧痛
外周静脉充勇	涉及疾病	感染性休克
外周静脉充勇	涉及症状	充血
外周静脉充勇	涉及症状	紫绀
外周静脉充勇	属于	症状
外周静脉充勇	涉及症状	内出血
外周静脉充勇	涉及检查	尿常规
胎位异常	就诊科室	妇产科
胎位异常	涉及症状	无力
胎位异常	涉及症状	子宫呈横椭圆形
胎位异常	涉及症状	气血虚弱
胎位异常	属于	症状
嗳腐	涉及症状	恶心
嗳腐	涉及症状	脾胃虚弱
嗳腐	涉及症状	脘痞
嗳腐	涉及症状	嗳气
嗳腐	属于	症状
尿液肺炎链球菌抗原检测试验	涉及症状	麻疹面容
尿液肺炎链球菌抗原检测试验	属于	尿液检查
中性粒细胞增高	涉及症状	嗜酸性粒细胞增多
中性粒细胞增高	属于	症状
呼吸抑制	涉及疾病	支气管哮喘
呼吸抑制	涉及检查	动脉血气分析
呼吸抑制	涉及症状	呼吸困难
呼吸抑制	属于	症状
呼吸抑制	涉及症状	少尿
呼吸抑制	涉及症状	食欲不振
呼吸抑制	涉及症状	恶心
呼吸抑制	涉及疾病	高血糖高渗综合征
呼吸抑制	涉及症状	紫绀
脓疱疮	涉及症状	水泡
脓疱疮	涉及症状	发热伴关节肿痛
脓疱疮	属于	疾病
脓疱疮	科室	皮肤性病科
高血糖高渗综合征	涉及症状	多饮
高血糖高渗综合征	涉及症状	疱疹
高血糖高渗综合征	涉及症状	呼吸抑制
高血糖高渗综合征	涉及症状	非感染性发热
高血糖高渗综合征	涉及症状	感觉障碍
高血糖高渗综合征	涉及症状	瘀血积聚
高血糖高渗综合征	涉及症状	脱水热
高血糖高渗综合征	涉及症状	皮肤发红
高血糖高渗综合征	涉及症状	胰岛细胞破坏
高血糖高渗综合征	涉及症状	言语紊乱
高血糖高渗综合征	涉及症状	酮症酸中毒
高血糖高渗综合征	涉及症状	高热
高血糖高渗综合征	涉及症状	深侧鼻塞
高血糖高渗综合征	涉及症状	呼吸异常
高血糖高渗综合征	涉及症状	无尿
高血糖高渗综合征	涉及症状	氮质血症
高血糖高渗综合征	属于	疾病
高血糖高渗综合征	涉及症状	腹痛伴恶心、呕吐
高血糖高渗综合征	涉及症状	高血钾
高血糖高渗综合征	涉及症状	血糖升高
高血糖高渗综合征	涉及症状	糖尿
高血糖高渗综合征	涉及症状	腮腺区肿大
高血糖高渗综合征	涉及症状	下肢肌肉瘫痪
高血糖高渗综合征	科室	内分泌科
高血糖高渗综合征	涉及症状	慢性肾功能不全
营养障碍	属于	症状
营养障碍	涉及症状	乏力
营养障碍	涉及症状	高热
营养障碍	涉及症状	皮肤干燥
营养障碍	涉及症状	水样便
营养障碍	涉及症状	肌肉萎缩
营养障碍	涉及症状	消瘦
腹泻与便秘交替	涉及症状	紧张
腹泻与便秘交替	涉及疾病	慢性腹泻
腹泻与便秘交替	涉及疾病	肠类癌
腹泻与便秘交替	涉及症状	乏力
腹泻与便秘交替	涉及疾病	溃疡性结肠炎
腹泻与便秘交替	涉及症状	发炎
腹泻与便秘交替	涉及疾病	结肠肿瘤
腹泻与便秘交替	属于	症状
腹泻与便秘交替	涉及症状	胀痛
腹泻与便秘交替	涉及症状	发热
食欲减退	属于	症状
食欲减退	涉及症状	高热
食欲减退	涉及疾病	嗜酸性粒细胞性胃肠炎
食欲减退	涉及检查	动脉血气分析
食欲减退	涉及症状	紧张
食欲减退	涉及症状	恶心
食欲减退	涉及疾病	星形病毒性肠炎
食欲减退	涉及疾病	功能性消化不良
食欲减退	涉及症状	多饮
眼眶异物	属于	症状
皮肌炎	医学专科	皮肤性病科
皮肌炎	来源	医学百科
皮肌炎	涉及检查	肌红蛋白
皮肌炎	属于	疾病
皮肌炎	来源	中文维基百科
